UBIGEO,NOMCP,DEP,DIST
080902,Aendoshiari,CUSCO,ECHARATE
080907,Santa Ana,CUSCO,KIMBIRI
050501,Tranca,AYACUCHO,SAN MIGUEL
050509,Buenos Aires,AYACUCHO,SAMUGARI
080907,Maserine,CUSCO,KIMBIRI
080907,Maquete Santaniato,CUSCO,KIMBIRI
080907,Ccollpapampa,CUSCO,KIMBIRI
080907,San Luis,CUSCO,KIMBIRI
080907,San Luis Alto,CUSCO,KIMBIRI
080902,Santa Ana,CUSCO,ECHARATE
080902,Nueva Generacion,CUSCO,ECHARATE
050509,Monterrico Santa Crusnayocc,AYACUCHO,SAMUGARI
050502,Chontabamba,AYACUCHO,ANCO
050509,Villarica,AYACUCHO,SAMUGARI
050509,Union Vista Alegre,AYACUCHO,SAMUGARI
050509,Nueva Jerusalen,AYACUCHO,SAMUGARI
050501,Los Olivos,AYACUCHO,SAN MIGUEL
050501,Yupanja,AYACUCHO,SAN MIGUEL
080907,San Juan de Cevichari,CUSCO,KIMBIRI
080907,Centro Belen,CUSCO,KIMBIRI
080907,Nueva Betania,CUSCO,KIMBIRI
080907,Pugoriari,CUSCO,KIMBIRI
080902,Paquishiari,CUSCO,ECHARATE
080907,Lobo Tahuantinsuyo,CUSCO,KIMBIRI
080907,Union Vista Alegre,CUSCO,KIMBIRI
080907,Sirenachayocc,CUSCO,KIMBIRI
080907,Manitea Alta,CUSCO,KIMBIRI
080907,Qorichayoc/ccorichayoc,CUSCO,KIMBIRI
080907,Manitea Baja,CUSCO,KIMBIRI
080907,Maquete,CUSCO,KIMBIRI
080907,Vista Alegre Baja,CUSCO,KIMBIRI
080907,Union Rosales,CUSCO,KIMBIRI
080907,Maquete Alta,CUSCO,KIMBIRI
080907,Palestina Alta,CUSCO,KIMBIRI
080907,Palestina Baja,CUSCO,KIMBIRI
080907,Chirumpiari,CUSCO,KIMBIRI
080907,Huayanay,CUSCO,KIMBIRI
080902,Sementato,CUSCO,ECHARATE
080907,Manitea,CUSCO,KIMBIRI
050501,Uspacunca,AYACUCHO,SAN MIGUEL
050501,Acsamachay,AYACUCHO,SAN MIGUEL
050501,Matara,AYACUCHO,SAN MIGUEL
050501,Janone,AYACUCHO,SAN MIGUEL
050501,Rucre,AYACUCHO,SAN MIGUEL
050501,Huayrinca,AYACUCHO,SAN MIGUEL
050501,Cruz Pata,AYACUCHO,SAN MIGUEL
050501,Chaqo,AYACUCHO,SAN MIGUEL
050501,Ninabamba,AYACUCHO,SAN MIGUEL
050501,Aquilla,AYACUCHO,SAN MIGUEL
050501,Magnupampa,AYACUCHO,SAN MIGUEL
050501,Chilinga,AYACUCHO,SAN MIGUEL
050501,Ayapampa,AYACUCHO,SAN MIGUEL
050509,Santa Cruz Miyocc,AYACUCHO,SAMUGARI
