UBIGEO,NOMBRE,DEPARTAMENTO,DISTRITO
080108,DIAGNOS,CUSCO,WANCHAQ
190305,ASCENCION,PASCO,POZUZO
100902,HUAMPOMAYO,HUANUCO,CODO DEL POZUZO
120403,PAUCAR APATA,JUNIN,APATA
200101,DANNLAB LABORATORIO CLINICO E.I.R.L.,PIURA,PIURA
150122,AURA MEDIC SAC,LIMA,MIRAFLORES
100701,HUAYCHAO,HUANUCO,HUACRACHUCO
160103,NUEVO PROGRESO,LORETO,FERNANDO LORES
200115,CONSULTORIOS DE ENFERMERIA PREVENIR,PIURA,VEINTISEIS DE OCTUBRE
120702,HUAYLAHUICHAN,JUNIN,ACOBAMBA
120702,COLLPA,JUNIN,ACOBAMBA
040118,PUESTO DE SALUD SAN JUAN DE SIGUAS - TAMBILLO,AREQUIPA,SAN JUAN DE SIGUAS
190110,SAN FRANCISCO DE PUCURHUAY,PASCO,TICLACAYAN
190206,RAGAN,PASCO,SANTA ANA DE TUSI
190110,SAN ISIDRO DE YANAPAMPA,PASCO,TICLACAYAN
130111,BERMANLAB,LA LIBERTAD,VICTOR LARCO HERRERA
190110,RACRAYTINGO,PASCO,TICLACAYAN
190305,RIO TIGRE,PASCO,POZUZO
100509,ILLAHUASI,HUANUCO,PUÑOS
100603,SAN ISIDRO,HUANUCO,HERMILIO VALDIZAN
100301,LA UNION,HUANUCO,LA UNION
080108,JESUS SACRAMENTADO,CUSCO,WANCHAQ
050409,PUESTO DE SALUD MAYAPO,AYACUCHO,CANAYRE
040129,PRENATAL Y FAMILIA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
090407,SUYTUPAMPA,HUANCAVELICA,HUACHOS
090611,SANTA ROSA DE ACORA,HUANCAVELICA,SAN FRANCISCO DE SANGAYAICO
120101,LABORATORIO CLÍNICO CONTINENTAL,JUNIN,HUANCAYO
050701,PUESTO DE SALUD NEGRO MAYO,AYACUCHO,CORACORA
090403,COCHAMARCA,HUANCAVELICA,AURAHUA
140202,HUACAPAMPA,LAMBAYEQUE,CAÑARIS
080105,BLUMEDIC,CUSCO,SAN SEBASTIAN
140202,CHIÑAMA,LAMBAYEQUE,CAÑARIS
140118,SAN LUIS,LAMBAYEQUE,POMALCA
140115,COLLIQUE,LAMBAYEQUE,SAÑA
